actor,movie_or_TV_name
Leila Hoffman,"{'Gangsta Granny Strikes Again', 'Not Going Out', 'EastEnders', 'A Kind of Kidnapping', 'Doctor Who', 'Edvard', ""Harry Potter and the Philosopher's Stone"", 'The Tea Party', 'Walter', 'Tracey Ullman: A Class Act', 'Bad Education', 'The Witches', 'Speechless', 'I Hate Suzie', 'How Not to Live Your Life', 'Flowers', 'Beyond Paradise', 'Prevenge', 'Roger Roger', 'EastEnders: Last Tango in Walford', 'Red Riding Hood: After Ever After', 'Magnolia', 'The Fools on the Hill', 'The Midnight Gang'}"
David Holmes,"{'Lost in Space', 'Prince of Persia: The Sands of Time', 'The Golden Compass', 'Harry & Paul', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Deathly Hallows: Part 1', 'In Praise of Action', ""Harry Potter and the Philosopher's Stone"", 'Doomsday', 'Harry Potter and the Order of the Phoenix', 'The Last Legion', 'Bedazzled', 'National Treasure: Book of Secrets', 'Harry Potter and the Half-Blood Prince', 'Green Street Hooligans', 'Inkheart', 'David Holmes: The Boy Who Lived', 'Harry Potter and the Prisoner of Azkaban', 'Mutant Chronicles', 'My Boy Jack', 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Deathly Hallows: Part 2'}"
Kieri Kennedy,"{'The Stranger', 'The Survivalist', ""Harry Potter and the Philosopher's Stone"", 'The Comeback', 'Ugetme', 'Top Spot'}"
Julianne Hough,"{'40th Anniversary Disney Parks Magical Christmas Day Parade', 'The Disney Family Singalong', 'Radio Disney Music Awards', 'My Last Days', ""Punk'd"", 'Rock of Ages', 'Curve', 'Keeping Up with the Kardashians', 'The Tonight Show Starring Jimmy Fallon', 'Jimmy Kimmel Live!', 'The Ellen DeGeneres Show', 'Bigger', 'Running Wild with Bear Grylls', 'The Jennifer Hudson Show', 'Step Into… The Movies with Derek and Julianne Hough', ""America's Got Talent"", 'Christmas in Washington', 'Dancing with the Stars', ""Harry Potter and the Philosopher's Stone"", 'Disney Parks Magical Christmas Day Parade', 'Burlesque', 'The Wonderful World of Disney: Magical Holiday Celebration', 'Grease Live', 'Safe Haven', 'The View', 'Tamron Hall', 'Disney Parks Magical Christmas Day Celebration', 'Paradise', 'The Steam Engines of Oz', 'The Kelly Clarkson Show', 'Miss USA', 'Speechless', 'Entertainment Tonight', 'Disney Parks Magical Christmas Celebration', 'LIVE with Kelly and Mark', 'Royalties', 'Conan', ""Dolly Parton's Heartstrings"", 'Schoolhouse Rock! 50th Anniversary Singalong', 'The Bride!', 'Watch What Happens Live with Andy Cohen', 'Celebrity Family Feud', 'Dirty Grandpa', 'Lip Sync Battle', 'The Disney Family Singalong - Volume II', ""Miley's New Year's Eve Party"", 'Footloose', 'Celebrity IOU', 'The Disney Holiday Singalong', 'Holidays With the Houghs', 'Tony Awards'}"
Jean Southern,"{""Harry Potter and the Philosopher's Stone"", 'Our Friends in the North', 'Vera', 'The Fifteen Streets', 'The Black Velvet Gown', 'Super Gran'}"
Saunders Triplets,"{""Harry Potter and the Philosopher's Stone""}"
Jamie Yeates,"{""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Chamber of Secrets', 'Mr. Bean'}"
Scot Fearn,"{""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Chamber of Secrets'}"
Will Theakston,"{""Harry Potter and the Philosopher's Stone"", 'The Ghost Hunter'}"
Emily Dale,"{""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Chamber of Secrets'}"
Leilah Sutherland,"{""Harry Potter and the Philosopher's Stone""}"
Danielle Tabor,"{""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Chamber of Secrets'}"
Ben Borowiecki,"{""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Chamber of Secrets'}"
Eleanor Columbus,"{'The Thursday Murder Club', 'Harry Potter and the Chamber of Secrets', 'In Search of Dr. Seuss', 'Nine Months', 'Home Alone 2: Lost in New York', ""Harry Potter and the Philosopher's Stone"", 'Rent', 'Dìdi (弟弟)', 'The Witch', 'Stepmom', 'Cusp', 'Menashe', 'Patti Cake$', 'Little Accidents', 'Nosferatu', 'The Exiles', 'Yes, God, Yes', 'Tallulah', 'The Lighthouse', 'Mediterranea'}"
