actor,movie_or_TV_name
Julie Walters,"Intimate Relations,The Ruby in the Smoke,Requiem Apache,Play for Today,Parkinson,A Grand Night In: The Story of Aardman,Becoming Jane,Little Red Riding Hood,Weasels: Feisty and Fearless,Talent,The Return,Harry Potter and the Deathly Hallows: Part 1,She'll Be Wearing Pink Pyjamas,Bathtime,Paddington,Who Do You Think You Are?,The Queen: 70 Glorious Years,Oliver Twist,National Theatre Live: The Last of the Haussmans,The Secret Garden,Educating Rita,Comedy Connections,An Audience with Mel Brooks,Intensive Care,Victoria Wood's Midlife Christmas,For The Love Of Britain,Mo,G.B.H.,Prick Up Your Ears,Say Something Happened,A Life on Screen,50 Greatest Harry Potter Moments,A Short Stay in Switzerland,Brave,Car Trouble,Me! I'm Afraid of Virginia Woolf,Brooklyn,The Queen's Corgi,The Glass Box,Acorn Antiques,Victoria Wood In Her Own Words,Playhouse,There's Something About Romcoms,Parkinson at 50,Jack and the Beanstalk: The ITV Pantomime,Victoria Wood's All Day Breakfast,Pat and Margaret,The Legend of Mor'du,Driving Lessons,Justin and the Knights of Valour,Mamma Mia! 3,Buster,Filth: The Mary Whitehouse Story,Effie Gray,Murder,The Birthday Party,Victoria Wood,Acorn Antiques: The Musical,Bambino Mio,Happy Since I Met You,Before You Go,Mack the Knife,Very British Problems,Occupy!,Natural World,Harry Potter and the Deathly Hallows: Part 2,Objects of Affection,Soldiers Talking, Cleanly,Wild Rose,Melissa,The Queen and Us,Michael Caine: Breaking the Mold,Dawn French's Girls Who Do Comedy,The One Show,Killing Dad (Or How to Love Your Mother),Nearly a Happy Ending,Unfair Exchanges,Chefs' Burnt Bits,Harry Potter and the Half-Blood Prince,GMTV,Empire Road,Victoria Wood's Short Term Memories,The Jury,Let's Do It: A Tribute to Victoria Wood,Harry Potter and the Order of the Phoenix,The Oscars,Wood and Walters,Just Like a Woman,Calendar Girls,National Treasure,An Audience With Victoria Wood,Harry Potter and the Chamber of Secrets,Mary Poppins Returns,Master Moley By Royal Invitation,Canterbury Tales,Boys from the Blackstuff,Harry Potter and the Philosopher's Stone,My Beautiful Son,Moley,One Chance,An Audience with Billy Connolly,Film Stars Don't Die in Liverpool,The National Television Awards Celebrate 25 Years,Sister My Sister,Birthing Mamma Mia!,Harry Potter and the Prisoner of Azkaban,Mamma Mia!,Paddington 2,Victoria Wood with All the Trimmings,Brazen Hussies,Wide-Eyed and Legless,Talking Heads,Coastal Railways with Julie Walters,Dreamchild,Titanic Town,Roald Dahl's Most Marvellous Book,Personal Services,What Would Julie Do?,Days at the Beach,Paddington in Peru,Julie Walters and Friends,Girls' Night,The Summer House,An Audience with...,When Harry Left Hogwarts,The Vicar of Dibley: Inside Out,Jake's Progress,Hetty Wainthropp Investigates,Wah-Wah,Indian Summers,Gnomeo & Juliet,Britain's Busiest Airport: Heathrow,Dinnerladies,Ahead of the Class,The Hollow Crown,Victoria Wood As Seen On TV,The Abominable Snow Baby,Lover's Prayer,The Secret Life of Sue Townsend (Aged 68 3/4),Artsnight,Wogan,Mamma Mia! Here We Go Again,Sherlock Gnomes,Billy Elliot,Mickybo and Me,This Morning,Club Havana,The Harry Hill Movie,The Graham Norton Show,Talking Heads 2,The Secret Diary of Adrian Mole,Stepping Out"
Harry Melling,"The Keeper,The Current War,The Pale Blue Eye,Shoshana,Friends & Crocodiles,The Lost City of Z,Wolf Hall: The Mirror and the Light,The Ballad of Buster Scruggs,The Devil All the Time,The Tragedy of Macbeth,His Dark Materials,Harry Potter and the Order of the Phoenix,Merlin,Harry Potter and the Deathly Hallows: Part 1,The War of the Worlds,The Queen's Gambit,The Old Guard,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,Waiting for the Barbarians,Pillion,Garrow's Law,Please Baby Please,Say Your Prayers,Harvest,Harry Potter and the Prisoner of Azkaban"
Warwick Davis,"The Chronicles of Narnia: Prince Caspian,Chingari,Harry Potter: A History Of Magic,Murder Rooms: Mysteries of the Real Sherlock Holmes,Warwick Davis: The Seven Dwarfs of Auschwitz,Rogue One: A Star Wars Story,Tenable,Star Wars: Episode I - The Phantom Menace,Leprechaun,Catherine Tate's Nan,Harry Potter and the Deathly Hallows: Part 1,Return of the Jedi,Who Do You Think You Are?,Star Wars: The Force Awakens,Leprechaun 3,The Chronicles of Narnia: Prince Caspian & The Voyage of the Dawn Treader,Weekend Escapes with Warwick Davis,Monty Python Live (Mostly),Ray,The White Pony,Jonathan Creek,M.I. High,Labyrinth,Catchphrase,Room 101,Gordon,Snow White,Arthouse,Star Wars Rebels,Who Shot Simon Cowell?,Jack the Giant Slayer,Extras,Small Town Folk,Merlin,Leprechaun: Back 2 tha Hood,The Entire Universe,Ashens and the Quest for the Gamechild,Doctor Who,Harry Hill's Alien Fun Capsule,The New Adventures of Pinocchio,Miranda:  Morecambe & Wise and Me,A Very Unlucky Leprechaun,Skinned Deep,Dr. Terrible's House of Horrible,Bear's Mission with...,Top Gear,Leprechaun in the Hood,Ewoks: The Battle for Endor,Harry Potter and the Deathly Hallows: Part 2,Willow: Behind the Magic,The 10th Kingdom,Big Fat Quiz,Downton Abbey,When Star Wars Ruled the World,Don't Crash: The Documentary of the Making of the Movie of the Book of the Radio Series of 'The Hitchhiker's Guide to the Galaxy',Leprechaun 4: In Space,Have I Got a Bit More News for You,The Great Comic Relief Bake Off,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Would I Lie to You?,Horrible Histories: The Movie - Rotten Romans,Star Wars: Tales of the Empire,Willow: The Making of an Adventure,Bring Back...,Life's Too Short,Solo: A Star Wars Story,Classic Creatures: Return of the Jedi,The Hitchhiker's Guide to the Galaxy,Harry Potter and the Chamber of Secrets,Star Wars: The Last Jedi,Master Moley By Royal Invitation,Harry Potter and the Philosopher's Stone,Moley,Celebrity Juice,The Fast Show,Billionaire Boy,Gulliver's Travels,Get Santa,Ready Steady Cook,Return of the Ewok,Saint Bernard,Harry Potter and the Prisoner of Azkaban,When Karl Met Warwick,The Ewok Adventure,Leprechaun 2,Star Wars: Greatest Moments,The Chronicles of Narnia,Duck Quacks Don't Echo,Through the Keyhole,Willow,Al's Lads,When Harry Left Hogwarts,Monty Python's Best Bits (Mostly),The Last Laugh,An Idiot Abroad,The Art of Breaking Character,Star Wars: The Rise of Skywalker,The Chronicles of Narnia: The Silver Chair,Maleficent: Mistress of Evil,Comic Relief: Red Nose Day,The Unbroken,Harry Potter and the Goblet of Fire,Perspectives,Empire of Dreams: The Story of the Star Wars Trilogy,Prince Valiant,Appointment with Dr. Terrible"
Josh Herdman,"Sink,The Games,Harry Potter and the Deathly Hallows: Part 2,Piggy,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Alex Rider,Robin Hood,Harry Potter and the Deathly Hallows: Part 1,Near the city,Common People,Harry Potter and the Chamber of Secrets,Star Wars: Andor,Harry Potter and the Philosopher's Stone,The Man Who Fell to Earth,Harry Potter and the Goblet of Fire,No Way Home,Two Graves,Harry Potter and the Prisoner of Azkaban"
James Phelps,"Bloody Fury,La resistencia,Harry Potter and the Deathly Hallows: Part 2,Fantastic Friends,Danny & the Human Zoo,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Patchwork,Harry Potter: Wizards of Baking,Harry Potter and the Deathly Hallows: Part 1,Harry Potter 20th Anniversary: Return to Hogwarts,Cadia: The World Within,Harry Potter and the Chamber of Secrets,A Mind's Eye,Harry Potter and the Philosopher's Stone,Harry Potter and the Goblet of Fire,Kingdom,Last Night in Soho,Harry Potter and the Prisoner of Azkaban"
Oliver Phelps,"Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Philosopher's Stone,Fantastic Friends,Harry Potter 20th Anniversary: Return to Hogwarts,La resistencia,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Goblet of Fire,Danny & the Human Zoo,Kingdom,Harry Potter and the Half-Blood Prince,Harry Potter and the Chamber of Secrets,Last Night in Soho,Harry Potter and the Order of the Phoenix,A Mind's Eye,Harry Potter: Wizards of Baking,Harry Potter and the Prisoner of Azkaban"
John Cleese,"Parting Shots,The Jungle Book,Over the Garden Wall,Man About Town,Rally Road Racers,The Best House in London,Misleading Cases,Fierce Creatures,Employees From Hell,The Magic Pudding,The Art of Football from A to Z,Not the Nine O'Clock News,The Magic Christian,Die Another Day,Parkinson,Quark and the Highway Robber,Doctor Who: City of Death,Charlotte's Web,Who Sold You This, Then?,The Big Year,Richard & Judy,Mickey's Magical Christmas: Snowed in at the House of Mouse,Comedy Playhouse,Spike,Rockstar,How to Make Her Cheat,Igor,John Cleese: The Alimony Tour Live,Winnie the Pooh,Cheers,The Frost Report,Return of the Goodies,Planet 51,The Croods: Family Tree,Concert for George,ABC Stage 67,Wine for the Confused,That Was The Week That Was,A Fish Called Wanda,The Queen Special,Albion: The Enchanted Stallion,The Dinosaur Hour,Mickey Mouse Works,God Loves Caviar,Monty Python's The Meaning of Life,The Best of Monty Python's Flying Circus Volume 2,The Palace,Shrek the Third,Mini Adventures of Winnie the Pooh,Rabbit Ears -  Tom Thumb,Fawlty Towers: Re-Opened,The Swan Princess,Elementary, My Dear Watson,Remember the Secret Policeman's Ball?,Planes,Monty Python's Personal Best,Gonzo Presents Muppet Weird Stuff,The Secret Policeman's Ball,British Sitcom: 60 Years of Laughing at Ourselves,Three Piece Suite,Romance with a Double Bass,Alexander Pope: Rediscovering a Genius,Why there is no hope,Python at 50: Silly Talks and Holy Grails,The Statue,Monty Python Live (Mostly),Monty Python: Before the Flying Circus,Taking The Wheel,The Late Show with Stephen Colbert,The Undefeated,Trolls,At Last the 1948 Show,The Croods: A New Age,Mary Shelley's Frankenstein,Hold the Sunset,NDR Kultur – Das Journal,Monty Python: Live at Aspen,A Life on Screen,The Naked Wanderer,Peter Cook & Co.,John Bishop: In Conversation With...,How Not to Exhibit Yourself,Absolutely Anything,Away from It All,More Awkward Customers,The Bliss of Mrs. Blossom,The Magic Touch of Harry Potter,Yellowbeard,Best Ever Bond,Quark the Dragon Slayer,The Secret Policeman's Other Ball,Customers From Hell,A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,The Seventh Python,Meetings, Bloody Meetings,Life of Brian,And Now for Something Completely Different,Skavlan,Legends,Elliot: The Littlest Reindeer,Behind Over the Garden Wall,George of the Jungle,Life of Python,The Rise and Rise of Michael Rimmer,The Great Birds Eye Peas Relaunch 1971,Spud,Monty Python Conquers America,Monty Python: And Now for Something Rather Similar,Bullseye!,Complete Guide to Guys,Father Christmas Is Back,E! True Hollywood Story,The Grand Knockout Tournament,The Movie Life of George,Michael Palin: A Life on Screen,More Dawn French's Boys Who Do: Comedy,The Best of Monty Python's Flying Circus Volume 1,The Secret Life of Brian,Time Bandits,The Strange Case of the End of Civilization as We Know It,We Are Most Amused,Monty Python: Almost the Truth (The Lawyer's Cut),The Taming of the Shrew,Fawlty Exclusive: Basil's Best Bits,The Adventures of Pluto Nash,The Tonight Show Starring Johnny Carson,Pleasure at Her Majesty's,The Best of Monty Python's Flying Circus Volume 3,Monty Python's Best Bits Celebrated,Did I Ever Tell You How Lucky You Are?,Wednesday 9:30 (8:30 Central),The Daily Show,Monty Python: The Meaning of Live,The Dinosaur Hour Extra,The Big Picture,Life Of Brian Screenplay,Group Madness,Clockwise,Fawlty Towers: 50 Years of Laughs,Euroshow '71: May Day Special,Untitled Fawlty Towers Reboot,Doctor Who,The Secret Policeman’s Biggest Ball,The Tom Machine,The Avengers,Snavely,Sez Les,John Cleese's First Farewell Performance,What the Pythons Did Next...,Making Rat Race,The Nutcracker,Silverado,L'Entente cordiale,The Late Late Show with Craig Kilborn,The Life of Python,Omnibus,Time Warp Vol. 3: Comedy and Camp,Why Are We (Not) Creative?,Whitney,Time Warp Vol. 1: Midnight Madness,Fawlty Towers Revisited,Rat Race,The Muppet Show,The Great Muppet Caper,The Croods,Disney's House of Mouse,Die Another Day: From Script to Screen,The Pythons: Somewhere in Tunisia, Circa A.D. 1979,The One Show,3rd Rock from the Sun,Shrek Forever After,The Meaning of Monty Python,The Out-of-Towners,Privates on Parade,Mickey's House of Villains,Baby Quark,Get Squirrely,Splitting Heirs,Marty Feldman: Six Degrees of Separation,Around the World in 80 Days,The Human Face,Is This a Record?,Fawlty Towers,Les Rendez-vous du dimanche,Scorched,The Pink Panther 2,Clifford the Big Red Dog,The Goodies,Valiant,Monty Python: Who's There?,Isn't She Great,The Love Ban,Arctic Dogs,The South Bank Show: Spamalot,Peter Cook: At a Slight Angle to the Universe,The Many Faces of Ronnie Barker,Charlie's Angels: Full Throttle,Robins,Communicators From Hell,Parrot Sketch Not Included: Twenty Years of Monty Python,The South Bank Show: John Cleese,Monty Python Live at the Hollywood Bowl,Monty Python & the Holy Grail Location Report,Edwurd Fudwupper Fibbed Big,An Accidental Studio,Harry Potter and the Chamber of Secrets,George of the Jungle 2,Harry Potter and the Philosopher's Stone,Daddy Daughter Trip,The Two Ronnies,Monty Python: 30th Anniversary Sketches,The Wind in the Willows,Amnesty International's Big 30,Last of the Summer Wine,Six Dates with Barker,The Tonight Show Starring Jimmy Fallon,MADtv,Monty Python and the Holy Grail,...To Norway, Home of Giants!,Erik the Viking,Monty Python's Flying Circus,The Day the Earth Stood Still,Whoops Apocalypse,How to Irritate People,Rentadick,Cancel Me,Real Time with Bill Maher,Markus Lanz,Ripping Yarns,The Roots of Monty Python,The World Is Not Enough,Now Pay Attention 007: A Tribute to Actor Desmond Llewelyn,Monty Python's Fliegender Zirkus,In The Wild: Operation Lemur With John Cleese,Charming,LOL: Last One Laughing,Anatomy of a Liar,The Martini Shot,Saturday Night Live,Beethoven's Christmas Adventure,Funny Business,The Very Excellent Mr. Dundee,Quantum Project,Spud 3: Learning to Fly,An Audience with...,Monty Python's Best Bits (Mostly),Bosses From Hell,The Secret Policeman’s Third Ball,The  Roast of John Cleese,Shrek 2,An American Tail: Fievel Goes West,Spud 2: The Madness Continues,Awkward Customers,Interlude,Will & Grace,Look at the State We're In!,Assholes: A Theory,The Mermaid Frolics,Entourage,Movie Connections,Monty Python's Flying Circus - Graham Chapman's Personal Best,Monty Python: From Spam to Sperm,Dragonslayer Quark,BBC Television Shakespeare,Nuclear Bogeyheads,Hitler: The Comedy Years,The Monty Python Story,Monty Python In The Netherlands,The Meaning of Making 'The Meaning of Life',Wogan,Golden Gordon,Wetten, dass..?,Casper & Mandrilaftalen,Speechless,The Graham Norton Show,The Funny Blokes of British Comedy,Stupidity"
Ian Hart,"Marvel's Agents of S.H.I.E.L.D.,Rag Tale,B. Monkey,Dirt,Within the Whirlwind,Frogs for Snakes,Robinson Crusoe,God's Own Country,The Man who Crossed Hitler,Luck,Ripley Under Ground,Born Romantic,Clockwork Mice,Harry Potter 20th Anniversary: Return to Hogwarts,Sherlock Holmes and the Case of the Silk Stocking,Best,Native,Killing Me Softly,The Bridge,Five Daughters,The End of the Affair,The Virgin Queen,Dough,When Harvey Met Bob,A Boy Called Dad,Morris: A Life with Bells On,Mojo,Mary Queen of Scots,PTSD,The 11th Green,Bates Motel,The Magic Touch of Harry Potter,Loved Up,The Butcher Boy,The Last Kingdom,Cheeky,A View of Harry Clark,Shoshana,The Driver,Dad's Dead,Hollow Reed,No Surrender,Urban Hymn,A Cock and Bull Story,Johnno's Dead,Mr Bates vs The Post Office,Escape from Pretoria,Father & Son,The Marksman,Klondike,The Hound of the Baskervilles,Nothing Personal,Liam,The Hours and Times,The Trap,The Responder,Vinyl,Land and Freedom,Blind Flight,My Mad Fat Diary,The Terror,Hard Boiled Sweets,Shetland,Monument Ave.,Spring Forward,Intervention,Backbeat,Eroica,The Closer You Get,Harry Potter and the Philosopher's Stone,Wonderland,Bait,Watching,One Summer,Strictly Sinatra,Modern Life Is Rubbish,Snodgrass,Den of Lions,Left Over,The Mosquito Coast,The Zip,Longitude,UK18,Michael Collins,Elementary,Strings,The Monocled Mutineer,Carry on Ken,Finding Neverland,Breakfast on Pluto,This Year's Love,Marlowe,Dusty and Me,Rogue,Aberdeen,Gold In The Streets,Enemy of the State,Help,Moving On,The Secret Agent,The Englishman Who Went Up a Hill But Came Down a Mountain,Tin Star"
Richard Griffiths,"Sleepy Hollow: Behind the Legend,Hugo,Well Thank You, Thursday,Inspector Morse,The Comedy of Errors,Bleak House,The World Cup: A Captain's Tale,A Private Function,Ffizz,Boon,Britannia Hospital,It's Only Rock 'n' Roll,It Shouldn't Happen to a Vet,Casanova,The French Lieutenant's Woman,Harry Potter and the Deathly Hallows: Part 1,El C.I.D.,Pebble Mill,About Time,A Breed of Heroes,Superman II,Mr. Wakefield's Crusade,The Cleopatras,Norma,Greystoke: The Legend of Tarzan, Lord of the Apes,Goldeneye,The Movie Life of George,The World of Peter Rabbit and Friends,The Merry Wives of Windsor,Sleepy Hollow,Funny Bones,Chariots of Fire,Pirates of the Caribbean: On Stranger Tides,The Marksman,Countdown,The Brides in the Bath,Jeffrey Archer: The Truth,Ballet Shoes,Breaking Glass,Opa!,Gorky Park,Tony Awards,Stage Beauty,Jackboots on Whitehall,Bergerac,Vatel,Crown Court,Gandhi,Gormenghast,Harry Potter and the Order of the Phoenix,Six Fifty-Five Special,Minder,The Hitchhiker's Guide to the Galaxy,Harry Potter and the Chamber of Secrets,Kind of Living,Episodes,Harry Potter and the Philosopher's Stone,Venus,Shanghai Surprise,TLC,National Theatre Live: The Habit of Art,Withnail & I,The Sweeney,Whoops Apocalypse,Princes in the Tower,Harry Potter and the Prisoner of Azkaban,Showing Up,Village Hall,Ragtime,Bird of Prey,Twelve Off the Belt,Pie in the Sky,Private Peaceful,Ted & Ralph,Blame It on the Bellboy,Afternoon Off,Guarding Tess,An Audience with...,The History Boys,In the Red,A Light Snack,The Hollow Crown,Lovejoy,BBC Television Shakespeare,Hope and Glory,Perfect Scoundrels,Bedtime Stories,King Ralph,The Naked Gun 2½: The Smell of Fear,A Muppets Christmas: Letters to Santa"
Maggie Smith,"Entertainment Tonight,Washington Square,BBC Play of the Month,Becoming Jane,A Private Function,Nanny McPhee and the Big Bang,All the King's Men,Rod Taylor: Pulling No Punches,The First Wives Club,Return to Downton Abbey: A Grand Event,Lily in Love,Nowhere to Go,Evil Under the Sun,The Miracle Club,My House in Umbria,The Best Exotic Marigold Hotel,The Best of The Tony Awards: The Plays,Sister Act,The Secret Garden,Clash of the Titans,Death on the Nile,The Honey Pot,Capturing Mary,Dames of Classic Drama at the BBC,Death on the Nile: Making of Featurette,The Magic Touch of Harry Potter,My Old Lady,Ladies in Lavender,Honest Trailers,National Theatre Live: 50 Years on Stage,A German Life,Suddenly, Last Summer,Divine Secrets of the Ya-Ya Sisterhood,Tea with Mussolini,Great Performances,The V.I.P.s,Memento Mori,Woolf Works,A Boy Called Christmas,The Making of 'Gosford Park',Travels with My Aunt,Better Late Than Never,Love and Pain and the Whole Damn Thing,The Carol Burnett Show,A Room with a View,Harry Potter and the Deathly Hallows: Part 2,Hook,David Copperfield,Much Ado About Nothing,Tony Awards,Hot Millions,Downton Abbey,The Lady in the Van,The Millionairess,Harry Potter and the Half-Blood Prince,The Oscars,Robin And Mark And Richard III,Harry Potter and the Order of the Phoenix,Olivier Talks About Othello,Downton Abbey: A New Era,Romeo.Juliet,Go to Blazes,Mrs. Silly,The Prime of Miss Jean Brodie,Quartet,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,The Last September,The Lonely Passion of Judith Hearne,Mad About the Boy: The Noël Coward Story,Murder by Death,The Merchant of Venice,From Time to Time,The Marvellous Maggie Smith: A Celebration,Oh! What a Lovely War,Harry Potter and the Prisoner of Azkaban,The Second Best Exotic Marigold Hotel,Othello,The Missionary,Sister Act 2: Back in the Habit,Talking Heads,Richard III,Maggie Smith at the BBC: a portrait,Curtain Call,The Making of Agatha Christie's 'Evil Under the Sun',The Pumpkin Eater,Gosford Park,Child in the House,Nothing Like a Dame,Gnomeo & Juliet,Talking Pictures,Francesco's Italy: Top to Toe,California Suite,Sherlock Gnomes,Harry Potter and the Goblet of Fire,Young Cassidy,Keeping Mum,The Graham Norton Show"
Sean Biggerstaff,"The Crow Road,Harry Potter and the Deathly Hallows: Part 2,Agatha Christie's Marple,In Extremis,Broono,The Winter Guest,Whisky Galore,Doctor Who: Shada,X on a Map,Cashback,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,Good Omens,Action,Garrow's Law,Charles II: The Power and The Passion,Mary, Queen of Scots,Super November,Consenting Adults"
Matthew Lewis,"Bluestone 42,Where the Heart Is,Harry Potter and the Deathly Hallows: Part 2,Ripper Street,Harry Potter: Hogwarts Tournament of Houses,Daniel Radcliffe: Being Harry Potter,Trailing Tonks,Happy Valley,Baby Done,Harry Potter and the Half-Blood Prince,Me Before You,Avoidance,Harry Potter and the Order of the Phoenix,Impractical Jokers,All Creatures Great & Small,This Is Personal: The Hunt for the Yorkshire Ripper,Harry Potter and the Deathly Hallows: Part 1,Harry Potter 20th Anniversary: Return to Hogwarts,City Central,Some Kind of Life,Death in Paradise,Heartbeat,Terminal,Harry Potter and the Chamber of Secrets,The Children's Party at the Palace,Harry Potter and the Philosopher's Stone,Harry Potter and the Goblet of Fire,The Sweet Shop,The Syndicate,Dalziel & Pascoe,The Rise,Girlfriends,Drunk History,Harry Potter and the Prisoner of Azkaban"
Robbie Coltrane,"Shooting Stars,Alfresco,Bert Rigby, You're a Fool,Five Go Mad on Mescalin,Laugh??? I Nearly Paid My Licence Fee,Alice in Wonderland,Parkinson,Murderland,The Young Ones,Frogs for Snakes,South Atlantic Raiders:  Part 2 Argie Bargie!,Britannia Hospital,Demonella,GLC: The Carnage Continues,Harry Potter and the Deathly Hallows: Part 1,The Bogie Man,Harry Potter 20th Anniversary: Return to Hogwarts,The Hunt for Tony Blair,Ocean's Twelve,Still Game: The Story So Far,The Secret Policeman's Ball,Cracker,Midnight Breaks,A Kick Up the Eighties,Perfectly Normal,The Tale of Despereaux,Goldeneye: The Secret Files,National Lampoon's European Vacation,50 Greatest Harry Potter Moments,Brave,Lead Balloon,30 Years of Comic Strip,Cracker: White Ghost,Henry V,The Magic Touch of Harry Potter,The Strike,The Legend of Lochnagar,Waterloo Sunset,Krull,Byrne About Byrne,Stormbreaker,McGinn of the Calton,The Crystal Cube,Subway Riders,Coltrane's Planes and Automobiles,Nuns on the Run,Ghost Dance,Message in a Bottle,Dirty Movie,Van Helsing: The London Assignment,The South Bank Show,The Movie Life of George,Revolution,Blackadder's Christmas Carol,Space Virgins from Planet Sex,The Return of Bond: The Start of Production Press Event,Robbie Coltrane: B-Road Britain,Red Nose of Courage,Effie Gray,Chinese Boxes,Girls On Top,The Secret Policeman’s Biggest Ball,Triple Bogey On A Par Five Hole,Tutti Frutti,Arthur Christmas,Alive and Kicking,The Beat Generation,The Fruit Machine,Mona Lisa,The Supergrass,Oh, What a Night,In Search of James Bond with Jonathan Ross,Still Game,Robbie Coltrane's Critical Evidence,The Robbie Coltrane Special,Susie,Thompson,The Ebb-Tide,On the Nose,Let It Ride,Van Helsing,Great Expectations,Where the Heart Is,Saturday Night Clive,The Planman,Harry Potter and the Deathly Hallows: Part 2,The Gruffalo,Jealousy,Danny the Champion of the World,Blackadder's Most Cunning Moments,Summer School,Stanley Baxter in Person,Frasier,Provoked: A True Story,Gino: Full Story and Pics,Cracker: Nine Eleven,Harry Potter and the Half-Blood Prince,Lenny Live and Unleashed,The Limit,Harry Potter and the Order of the Phoenix,Comic Relief,Caravaggio,The Bullshitters: Roll Out the Gunbarrel,Boswell and Johnson's Tour of the Western Isles,Robbie Coltrane at the BBC,Loose Connections,National Treasure,Minder,South Atlantic Raiders: Part 1,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,An Audience with Billy Connolly,Montana,Robbie Coltrane: Incredible Britain,War,Harry Potter and the Prisoner of Azkaban,Buddy,The Gruffalo's Child,The World Is Not Enough,Friday Night with Jonathan Ross,The Pope Must Diet,Death Watch,Aspel & Company,Where's Elvis This Week?,Five Go to Rehab,The Comic Strip Presents...,Urban Myths,Hooray For Holyrood,Blackadder,Are You Being Served?,Defence of the Realm,An Audience with...,When Harry Left Hogwarts,The Best of French & Saunders,The Secret Policeman’s Third Ball,GoldenEye: The Secret Files - The Cast,Eat the Rich,French & Saunders,Scrubbers,Flash Gordon,Pride,Absolute Beginners,The Adventures of Huck Finn,Five Go Mad in Dorset,The Brothers Bloom,From Hell,Wogan,Kevin Turvey: The Man Behind the Green Door,GoldenEye,Harry Potter and the Goblet of Fire,Gooby,Slipstream,Play for Today"
Tom Felton,"David Holmes: The Boy Who Lived,The Late Late Show with Craig Ferguson,The Magic Touch of Harry Potter,Harry Potter and the Deathly Hallows: Part 2,Conan,Live from Studio Five,In Secret,The LP Show - Act 3,From the Rough,Belle,The Frame,A United Kingdom,Origin,How I Didn't Become a Piano Player,Canyon of the Dead,Altered,Harry Potter: Hogwarts Tournament of Houses,The Forgotten Battle,Anna and the King,Feed,Daniel Radcliffe: Being Harry Potter,8 Out of 10 Cats,Megan Leavey,The Disappeared,The Apparition,Against the Sun,Burial,They Will Kill You,Braking for Whales,Message from the King,Gandhi,Harry Potter and the Half-Blood Prince,Lead Heads,Goy,Harry Potter and the Order of the Phoenix,Smoke Out,Tom Felton Meets the Superfans,13Hrs,Home Farm Twins,Harry Potter and the Deathly Hallows: Part 1,Stratton,When Harry Left Hogwarts,Harry Potter 20th Anniversary: Return to Hogwarts,A Babysitter's Guide to Monster Hunting,Save the Cinema,Some Other Woman,Risen,The Flash,Teen Choice Awards,White Other,Harry Potter and the Chamber of Secrets,Bugs,Second Sight,Rise of the Planet of the Apes,Harry Potter and the Philosopher's Stone,Get Him to the Greek,Last Call with Carson Daly,Ophelia,Harry Potter and the Goblet of Fire,Labyrinth,(K)nox: The Rob Knox Story,Murder in the First,The Borrowers,OK! TV,Harry Potter and the Prisoner of Azkaban"
